,中文名,景点排名,攻略数量,评论数量,评分,价格
3512,九龙湖(九龙洞群),11,0.0,15.0,4.3,70.0
3513,石山园,12,0.0,3.0,4.5,0.0
3514,天宫山,46,0.0,17.0,4.7,0.0
3515,上杭七峰山,9,0.0,13.0,3.7,0.0
3516,狮岩,47,0.0,6.0,4.8,0.0
3517,梅花山中国虎园,48,0.0,85.0,4.5,45.0
3522,瞿秋白烈士纪念馆,50,1.0,2.0,4.8,0.0
3528,连城县博物馆,25,1.0,2.0,0.0,0.0
3529,土楼沟,7,1.0,2.0,5.0,0.0
3530,虎豹塔,2,1.0,2.0,5.0,0.0
3531,胡氏家庙,8,1.0,3.0,4.0,0.0
3532,赖源溶洞,27,1.0,14.0,4.6,60.0
3533,客家民俗文化古街区,13,2.0,1.0,5.0,0.0
3535,竹安寨,54,1.0,12.0,4.5,60.0
3536,红豆杉生态园,4,0.0,8.0,5.0,0.0
3537,星火燎原主题蜡像馆,7,0.0,5.0,4.3,0.0
3538,侨福楼,55,1.0,72.0,4.5,118.0
3539,兜率天宫,31,4.0,1.0,5.0,0.0
