sid,景点名称,攻略数量,评分,景区介绍,景点排名,经度,纬度,评论数量,旅游率,图片url
5740178,州桥老街Zhouqiao Old Street,1,90.0,,680.0,121.257881,31.389981,167,0.0,https://img1.qunarzz.com/travel/d2/1803/7b/38bc783afea08ab5.jpg_r_480x360x95_0d5a429b.jpg
7481788,上海当代艺术博物馆Power Station of Art,8,90.0,发电厂房改造的博物馆，也是上海双年展的主场馆。可参观各种前卫艺术品。,98.0,121.505082,31.206746,246,0.0,https://img1.qunarzz.com/travel/d4/1801/6d/603ad1b452096bb5.jpg_r_480x360x95_944ac0fb.jpg
10007865,老上海1930风情街Laoshanghai 1930 Fengqing Street,2,84.0,,44.0,121.482317,31.237426,211,0.0,https://img1.qunarzz.com/travel/d5/1802/32/ca21f81bcfe2a6b5.jpg_r_480x360x95_d659507e.jpg
7481664,陆家嘴Lujiazui,86,94.0,举世闻名的金融中心，乐园和大型商场众多。,15.0,121.508984,31.243812,1300,0.02,https://tr-osdcp.qunarzz.com/tr-osd-tr-touch/img/d59c5355024ad0c918bbfb7949e861e6.jpeg_r_480x360x95_aa7452df.jpeg
10032815,青浦岑卜村Cenbocun,0,92.0,,1798.0,120.949015,31.06539,3,0.0,https://img1.qunarzz.com/travel/poi/1712/9f/ff08b71b642fde37.jpg_r_480x360x95_0aaa8bbe.jpg
37183602,金山公园,0,0.0,,,121.168962672,30.8979034763,0,0.0,https://img1.qunarzz.com/travel/poi/201408/06/7dc8cc10cb6b007cc8d65eac.gif_r_480x360x95_08d929d7.gif
702956,上海老街Shanghai Old Street,38,92.0,一条汇集了上海最早的钱庄、金店、银楼、茶馆、戏楼等的老街。,10.0,121.503455,31.231018,734,0.18,https://img1.qunarzz.com/travel/d3/1611/ea/f7b77eaabbe75fb5.jpg_r_480x360x95_c81b434a.jpg
5740177,外白渡桥Garden Bridge,69,92.0,上海标志性建筑之一，老上海题材影视剧取景地。,35.0,121.49699,31.24957,1334,0.11,https://img1.qunarzz.com/travel/d9/1611/d9/8ca7570cd52938b5.jpg_r_480x360x95_f89bd5fe.jpg
704937,上海滨江森林公园Binjiang Forest Park,2,94.0,观江景、看夕阳，或是在林中漫步，春季赏杜鹃花，夏季可欣赏湿地植物。,569.0,121.534393,31.38897,368,0.0,https://img1.qunarzz.com/piao/fusion/2004/25/40e2e0f31ae3a202.jpg_r_480x360x95_7530d7c7.jpg
18718663,花开海上生态园Huakai Haishang Ecological Park,0,92.0,,,121.122985,30.891863,160,0.0,https://tr-osdcp.qunarzz.com/tr-osd-tr-space/img/2fd3db02027c15194a62e388674daf34.jpg_r_480x360x95_d50694a2.jpg
18700121,钟书阁(松江泰晤士小镇店)Zhongshuge Bookstore,0,94.0,坐落在泰晤士小镇的“最美书店”，对书情有独钟。,,121.201441,31.040223,193,0.0,https://flight-feed.qunarzz.com/as3/180/image/poi_vishnu/0dbcd60a-5e66-4a3c-bd0a-6faf8bd638f9.jpg_480x360_e6866bfc.jpg_480x360_72ff7233.jpg
9778756,七宝老街Qibao Old Street,4,86.0,参观民俗景点，品尝各色小吃，坐船泛舟水巷，品味古镇风情。,176.0,121.361133,31.157839,1366,0.0,https://img1.qunarzz.com/travel/poi/1708/5e/402d38dfefa4db37.jpg_r_480x360x95_b2267c2c.jpg
704241,古猗园Guyi Garden,11,92.0,上海最大的园林，吸引无数摄影爱好者，园内上海古猗园餐厅能吃到正宗南翔小笼。,166.0,121.3229,31.297989,1279,0.0,https://img1.qunarzz.com/travel/d1/1701/2b/8a3e4d9586b12b5.jpg_r_480x360x95_7b1e2612.jpg
704220,上海动物园Shanghai Zoo,5,94.0,中国第二大城市动物园，观察珍稀动物，体验亲手喂食。,23.0,121.3694183532,31.1986780408,3129,0.0,https://img1.qunarzz.com/travel/d5/1511/d3/b00407097f93cbf7.jpg_r_480x360x95_e96cc691.jpg
5475534,上海辰山植物园Shanghai Chenshan Botanical Garden,2,94.0,在矿井花园看瀑布，冬天在展馆温室观赏各类珍稀植物。,3.0,121.189078,31.081652,1500,0.0,https://img1.qunarzz.com/travel/d7/1506/c7/ab8591892881e9.jpg_r_480x360x95_50087abd.jpg
703210,新场古镇Xinchang Ancient Town,7,88.0,品味明清老建筑、参观历史陈列馆。电影《色戒》曾在此取景。,85.0,121.652503,31.031093,505,0.0,https://img1.qunarzz.com/travel/d4/1506/7f/984a24f516c027.jpg_r_480x360x95_335d8a83.jpg
20922352,崇明长江三角洲国家地质公园Chongming Yangtze River Delta National Geopark,0,0.0,,,121.237948,31.732706,0,0.0,https://img1.qunarzz.com/travel/poi/201408/06/7dc8cc10cb6b007cc8d65eac.gif_r_480x360x95_08d929d7.gif
10011287,陕西南路Shaanxi South Road,2,92.0,,2185.0,121.463239,31.22917,56,0.0,https://tr-osdcp.qunarzz.com/tr-osd-tr-manager/img/13ea15da51925ebdff6ffb99faa64550.jpg_r_480x360x95_67a7a92c.jpg
7469103,上海电影博物馆Shanghai Film Museum,3,94.0,观赏各种电影海报和拍摄道具，体验有趣的电影后期制作过程。,43.0,121.444536,31.192501,683,0.0,https://img1.qunarzz.com/travel/d5/1709/8a/edd78927938943b5.jpg_r_480x360x95_00519132.jpg
716105,上海植物园Shanghai Botanical Garden,8,90.0,上海市区的大花园，四季植被茂盛，是散步健身、花卉摄影的好去处。,46.0,121.450949,31.153874,1438,0.0,https://img1.qunarzz.com/travel/d5/1605/9b/a2668d973d8950f7.jpg_r_480x360x95_9a9a3c7c.jpg
7642185,东海大桥Donghai Bridge,4,90.0,,689.0,121.9855053326,30.7265644073,52,0.0,https://img1.qunarzz.com/travel/poi/1503/cf/aa91e7a0d6e8c2.jpg_r_480x360x95_72c0ead8.jpg
25921337,哥伦比亚公园,0,40.0,魔都新晋的摩洛哥风公园，度假感十足,,121.433423,31.216059,2,0.0,https://tr-osdcp.qunarzz.com/tr-osd-tr-mapi/img/86b5f9c8a5b27ba4bfe9180abc364fe8.jpg_r_480x360x95_f5b6988e.jpg
