sid,uid,score
712269,3369214,5
712269,121614100,4
704836,3369214,5
704836,1077169,5
704836,5797860,4
704836,121150312,0
704836,1853736,0
704836,172029629,5
704836,3888218,0
704836,198432705,0
704836,3957790,0
704836,275695403,5
703209,1796208,4
703209,173869225,0
703209,179719288,3
703209,181623693,5
703209,143569417,5
703209,4532232,0
703209,146088414,0
703209,2487668,0
703209,4637670,0
703209,133628590,0
