sid,uid,score
9209245,228463367,5
9209245,228463367,5
9209245,228463367,5
9209245,228463367,5
9209245,228463367,5
9209245,228463367,5
9209245,228463367,5
9209245,228463367,5
9209245,228463367,5
9209245,228463367,5
719556,214336632,0
719556,214336632,0
719556,214336632,0
719556,214336632,0
719556,214336632,0
719556,214336632,0
719556,214336632,0
719556,214336632,0
719556,214336632,0
719556,214336632,0
705073,161022528,0
705073,161022528,0
705073,161022528,0
705073,161022528,0
705073,161022528,0
705073,161022528,0
705073,161022528,0
705073,161022528,0
705073,161022528,0
705073,161022528,0
715428,153573844,0
715428,153573844,0
715428,153573844,0
715428,153573844,0
715428,153573844,0
715428,153573844,0
715428,153573844,0
715428,153573844,0
715428,153573844,0
715428,153573844,0
9496580,5157216,5
9495766,228631026,3
9495766,228631026,3
9495766,228631026,3
9558432,172912421,0
9558432,172912421,0
9496580,5157216,5
9495766,228631026,3
9495766,228631026,3
9495766,228631026,3
9558432,172912421,0
9558432,172912421,0
20025151,132085948,0
9221554,183240601,0
9221554,183240601,0
9221554,183240601,0
9221554,183240601,0
9221554,183240601,0
9221554,183240601,0
9221554,183240601,0
9221554,183240601,0
9221554,183240601,0
9221554,183240601,0
709283,149502562,0
709283,149502562,0
709283,149502562,0
709283,149502562,0
709283,149502562,0
709283,149502562,0
709283,149502562,0
709283,149502562,0
709283,149502562,0
709283,149502562,0
705180,219730218,0
705180,219730218,0
705180,219730218,0
705180,219730218,0
705180,219730218,0
705180,219730218,0
705180,219730218,0
705180,219730218,0
705180,219730218,0
705180,219730218,0
7481833,219426066,5
7481833,219426066,5
7481833,219426066,5
7481833,219426066,5
7481833,219426066,5
7481833,219426066,5
7481833,219426066,5
7468843,192231000,0
7468843,192231000,0
7468843,192231000,0
7468843,192231000,0
7468843,192231000,0
7468843,192231000,0
7468843,192231000,0
7468843,192231000,0
7468843,192231000,0
7468843,192231000,0
9716026,206086572,5
9716026,206086572,5
9716026,206086572,5
9716026,206086572,5
9716026,206086572,5
9716026,206086572,5
9716026,206086572,5
9716026,206086572,5
9716026,206086572,5
9716026,206086572,5
8680183,120952270,4
8680183,120952270,4
8680183,120952270,4
8680183,120952270,4
8680183,120952270,4
8680183,120952270,4
7560094,835766,5
7560094,835766,5
7560094,835766,5
7560094,835766,5
7560094,835766,5
7560094,835766,5
7560094,835766,5
7560094,835766,5
7560094,835766,5
7560094,835766,5
5475486,426516,0
5475486,426516,0
5475486,426516,0
5475486,426516,0
5475486,426516,0
5475486,426516,0
5475486,426516,0
5475486,426516,0
5475486,426516,0
5475486,426516,0
705299,271784114,0
705299,271784114,0
705299,271784114,0
705299,271784114,0
705299,271784114,0
705299,271784114,0
705299,271784114,0
705299,271784114,0
705299,271784114,0
705299,271784114,0
719021,428213798,0
719021,428213798,0
719021,428213798,0
719021,428213798,0
719021,428213798,0
719021,428213798,0
719021,428213798,0
719021,428213798,0
719021,428213798,0
719021,428213798,0
7476939,143569417,3
7476939,143569417,3
7476939,143569417,3
7476939,143569417,3
7476939,143569417,3
7476939,143569417,3
7476939,143569417,3
7476939,143569417,3
7476939,143569417,3
7476939,143569417,3
7560085,205719344,0
7560085,205719344,0
7560085,205719344,0
7560085,205719344,0
7560085,205719344,0
7560085,205719344,0
7560085,205719344,0
7560085,205719344,0
7560085,205719344,0
7560085,205719344,0
9281268,148965681,0
9281268,148965681,0
9281268,148965681,0
9281268,148965681,0
9281268,148965681,0
9281268,148965681,0
9281268,148965681,0
9281268,148965681,0
8458821,143939144,0
8458821,143939144,0
8458821,143939144,0
7481959,1637244,0
7481959,1637244,0
7481959,1637244,0
7481959,1637244,0
7481959,1637244,0
7481959,1637244,0
7481959,1637244,0
7481959,1637244,0
7481959,1637244,0
7481959,1637244,0
7468927,172897439,0
7468927,172897439,0
7468927,172897439,0
7468927,172897439,0
7468927,172897439,0
7468927,172897439,0
7468927,172897439,0
7468927,172897439,0
7468927,172897439,0
7468927,172897439,0
5941491,144484526,3
5941491,144484526,3
5941491,144484526,3
5941491,144484526,3
5941491,144484526,3
5941491,144484526,3
5941491,144484526,3
5941491,144484526,3
5941491,144484526,3
5941491,144484526,3
712156,131958494,0
712156,131958494,0
712156,131958494,0
712156,131958494,0
5941483,11182548,0
5941483,11182548,0
5941483,11182548,0
5941483,11182548,0
5941483,11182548,0
5941483,11182548,0
5941483,11182548,0
5941483,11182548,0
5941483,11182548,0
5941483,11182548,0
3725500,179599320,0
5241591,131040110,0
5241591,131040110,0
5241591,131040110,0
7481755,197735692,0
7481755,197735692,0
7481755,197735692,0
7481755,197735692,0
7481755,197735692,0
7481755,197735692,0
7481755,197735692,0
7481755,197735692,0
7481755,197735692,0
7481755,197735692,0
7584548,218584736,0
7584548,218584736,0
7584548,218584736,0
7584548,218584736,0
7481867,153626160,0
7481867,153626160,0
7481867,153626160,0
7481867,153626160,0
7481867,153626160,0
7481867,153626160,0
7481867,153626160,0
7481867,153626160,0
7481867,153626160,0
7481867,153626160,0
703705,197026607,5
3725649,135410260,0
3726139,186354693,0
715018,643070,0
715018,643070,0
7588763,3383526,0
7588763,3383526,0
703755,203320674,0
7566495,144484526,4
7588763,3383526,0
7588763,3383526,0
703755,203320674,0
7566495,144484526,4
7468886,149710102,0
7468886,149710102,0
36454429,3083368,4
36255914,3083368,5
35911975,285229338,5
35214808,253434814,4
27373432,131197098,4
27373432,131197098,4
27373432,131197098,4
27373432,131197098,4
