景点名称,攻略数量,评分,景区介绍,景点排名,经度,纬度,评论数量,旅游率
金陵艺术空间,0,0.0,,,118.7878176219,32.0314974405,0,0.0
周金墓石刻,0,0.0,,,118.7539499206,31.9669540971,0,0.0
童寯住宅,0,0.0,,,118.8018674284,32.04320753,0,0.0
七仙山玫瑰园,0,0.0,,,118.7600823893,31.6962317917,0,0.0
1914商业街,0,0.0,,,118.749103,32.142694,0,0.0
仙鹤观六朝墓地,0,0.0,,,118.911135,32.107048,0,0.0
草圣书乡,0,100.0,,,118.475862,31.863093,0,0.0
刘智墓,0,0.0,,,118.782883,31.987032,0,0.0
热河路广场,0,0.0,,,118.7490366078,32.0926829261,0,0.0
寅春路海绵湿地,0,90.0,,,118.8528959807,32.1266350692,0,0.0
石佛庵石刻,0,0.0,,,119.0296584171,32.110310845,0,0.0
青奥森林公园,0,100.0,,,118.70537086,32.003557211,0,0.0
东坝戏楼,0,0.0,,,119.0682325245,31.3022095416,0,0.0
金陵中华大熊猫苑,0,0.0,,,118.8081561483,32.0992438164,0,0.0
朝天宫西侧广场,0,0.0,,,118.7808959273,32.041063432,0,0.0
东风河游园,0,0.0,,,118.806056,32.005644,0,0.0
麒麟中央公园,0,0.0,,,118.8955988494,32.0261829275,0,0.0
营盘山公园,0,0.0,,,118.8237846072,32.0721236677,0,0.0
江宁区文化馆,0,0.0,,,118.8303871578,31.9598295187,0,0.0
顾昊墓石刻,0,0.0,,,118.6642448882,32.1141890828,0,0.0
六合规划展览馆,0,0.0,,,118.8236306162,32.3347156776,0,0.0
固城湖国家城市湿地公园,0,0.0,,,118.9158162852,31.3324656974,0,0.0
中国江苏白马农业国际博览中心,0,0.0,,,119.193328087,31.6213561601,0,0.0
喵喵街站,0,86.0,,,118.7164182242,31.9986109436,0,0.0
双桥门公园,0,0.0,,,118.8007480863,32.0131938175,0,0.0
武家嘴法治文化公园,0,0.0,,,118.9046321916,31.3433097251,0,0.0
河滨公园,0,0.0,,,118.6377419276,32.0607527314,0,0.0
城南河广场,0,0.0,,,118.63637,32.061714,0,0.0
萧融墓,0,0.0,,,118.9368057161,32.1572938436,0,0.0
大士禅林,0,0.0,,,118.8502066317,32.3283949907,0,0.0
傅宅,0,0.0,,,118.7921004073,32.0183812598,0,0.0
伯乐园,0,0.0,,,118.8261142123,32.1343321325,0,0.0
茉莉江苏文化旅游城,0,0.0,,,118.8122100412,32.3041893997,0,0.0
南京国际青年文化公园,0,0.0,,,118.7053289885,31.9957721432,0,0.0
杨公达旧居,0,0.0,,,118.7771260757,32.0693732976,0,0.0
南京国家农高区规划展示馆,0,0.0,,,119.1917829939,31.6199587237,0,0.0
大学城公园,0,0.0,,,118.8971262877,31.9098141375,0,0.0
江宁开发区滨河体育公园,0,0.0,,,118.843385,31.929448,0,0.0
明御河公园,0,0.0,,,118.8213000538,32.0351847859,0,0.0
正大园,0,0.0,,,118.7716079739,32.0483779158,0,0.0
粉黛花田,0,0.0,,,118.686994,32.016448,0,0.0
天目路18号民国建筑,0,0.0,,,118.7744686587,32.0651880841,0,0.0
老鸦坝水库,0,0.0,,,119.2023954329,31.6075543557,0,0.0
圣象广场,0,0.0,,,118.7570921588,31.9343945487,0,0.0
大市口广场,0,0.0,,,118.8498061572,31.9594774614,0,0.0
东晋梅岗,0,0.0,,,118.7887840939,32.0091839972,0,0.0
翠佛堂艺术馆,0,0.0,,,118.7827859442,32.0502487689,0,0.0
国立美术陈列馆,0,0.0,,,118.7908182453,32.072664585,0,0.0
渡江战役总前委,0,0.0,,,118.738305,32.078871,0,0.0
长江大桥纪念馆,0,0.0,,,118.757196,32.115872,0,0.0
陨石博物馆,0,0.0,,,118.8361338311,32.0710373506,0,0.0
青和当代美术馆,0,0.0,,,118.808731465,32.1217159722,0,0.0
茶文化博物馆,0,0.0,,,118.6979849768,31.7863941376,0,0.0
熙和美术馆,0,0.0,,,118.7415445178,31.9897480394,0,0.0
工业印记小市街道微博物馆,0,0.0,,,118.8048475994,32.102806171,0,0.0
天空美术馆(金奥国际购物中心),0,94.0,,,118.732274,32.004665,0,0.0
24小时美术馆,0,66.0,,,118.7158065267,31.994219546,0,0.0
浦口区文化馆,0,0.0,,,118.633082,32.072105,0,0.0
888号之夜,0,0.0,,,118.746416,32.029102,0,0.0
江苏警察博物馆,0,0.0,,,118.802744,32.049384,0,0.0
有润美术馆,0,0.0,,,118.7841,32.11611,0,0.0
宣和美术馆,0,0.0,,,118.73448,32.014777,0,0.0
国际青年艺术中心,0,0.0,,,118.7149008522,31.9978634052,0,0.0
老电影海报馆,0,0.0,,,118.5733165978,32.1373133423,0,0.0
JIN SPACE浸空间,0,0.0,,,118.7717011947,32.0330701456,0,0.0
气味博物馆,0,0.0,,,118.7320595006,32.0046612079,0,0.0
长江江豚科教中心,0,100.0,,,118.7232853177,32.0511665598,0,0.0
南京国际轮滑博物馆,0,0.0,,,118.7131062497,31.9975414956,0,0.0
南京栖霞山长江大桥,0,0.0,,,118.952686,32.207539,0,0.0
大山村,0,0.0,,,119.08917,31.419491,0,0.0
游芳月季园,0,0.0,,,119.04731,32.015954,0,0.0
山贡里人家,0,0.0,,,118.432512,32.079391,0,0.0
江宁体育中心,0,0.0,,,118.902436,31.917952,0,0.0
苏康生态园,0,100.0,,,118.706282,32.353997,0,0.0
BOX CINEMATICS摄影基地,0,0.0,,,118.794878,32.052303,0,0.0
桦墅村,0,100.0,,,119.0349838255,32.1132859705,0,0.0
篝火台,0,0.0,,,118.717555,31.729293,0,0.0
南京盐水鸭非遗文化体验馆,0,0.0,,,118.955466,31.940449,0,0.0
江宁眼摩天轮,0,94.0,,,118.823849,31.938684,0,0.0
固城湖湿地动物园,0,0.0,,,118.8991481145,31.3039040869,0,0.0
北丘当代美术馆,0,100.0,,,118.7953928399,32.0659187131,0,0.0
芳山金顶禅寺,0,0.0,,,119.165149,31.495394,0,0.0
时光车站(南京站),0,80.0,,,118.80218,32.051408,0,0.0
方便水库,0,0.0,,,119.144159,31.69168,0,0.0
隐龙湖,0,96.0,,,118.756918,31.90567,0,0.0
阡陌花开,0,50.0,,,119.180601,31.629077,0,0.0
银杏里文化艺术街区,0,100.0,,,118.725771,32.016982,0,0.0
扬子石化,0,100.0,,,118.779822,32.244265,0,0.0
葫芦坝古银杏树,0,0.0,,,118.941786,31.658303,0,0.0
金鹰美术馆Golden Eagle Museum of Art,0,96.0,,,118.746886,32.02968,1,0.0
蒙古文化风情园,0,0.0,,,118.756057,31.847982,0,0.0
南京总统府景区-麒麟门,0,100.0,,,118.8040301235,32.0508598486,0,0.0
总统府图书馆Zongtongfu Library,0,100.0,,,118.803275244,32.0514449722,0,0.0
总统府(南门)Presidential Palace (South Gate),0,0.0,,,118.8039564246,32.0490962069,0,0.0
郑和纪念堂,0,0.0,,,118.753125,32.099745,1,0.0
总统府防空洞,0,100.0,,,118.803812,32.050591,0,0.0
临时政府大总统办公室,0,0.0,,,118.803812,32.050591,0,0.0
古炮台,0,0.0,,,118.75599,32.100654,0,0.0
孙中山起居室,0,0.0,,,118.803812,32.050591,0,0.0
国民政府参谋本部,0,0.0,,,118.803812,32.050591,0,0.0
历史文物陈列馆,0,0.0,,,118.803812,32.050591,0,0.0
孙中山阅江处,0,100.0,,,118.753125,32.099745,0,0.0
总统府礼堂,0,0.0,,,118.803812,32.050591,0,0.0
总统府会客厅,0,100.0,,,118.803812,32.050591,0,0.0
苏记忆·金陵历史文化展览馆,0,86.0,,,118.795954,32.027391,1,0.0
锁石太子山风景区,0,0.0,,,118.986457,32.070292,0,0.0
锁石生态园,0,0.0,,,118.990644,32.067224,0,0.0
锁石彩虹桥,0,0.0,,,118.986224,32.068923,0,0.0
江苏省第十一届园艺博览园,0,0.0,,,119.003923,32.065013,0,0.0
欧洲油画展览馆,0,0.0,,,118.72484,32.040562,0,0.0
珍珠泉花溪蝴蝶谷,0,0.0,,,118.668379,32.134057,0,0.0
大板巷35号历史建筑,0,0.0,,,118.787121,32.031793,0,0.0
中国象棋桥,0,0.0,,,118.7740637347,32.0534733054,0,0.0
法式乡村风情区,0,0.0,,,118.722707,32.039973,0,0.0
美大纸行旧址,0,0.0,,,118.787451,32.030681,0,0.0
升州路122号民国建筑,0,0.0,,,118.787153,32.030848,0,0.0
珍珠泉喜客泉,0,0.0,,,118.663794,32.12831,0,0.0
珍珠泉自然探索步道,0,0.0,,,118.667391,32.133996,0,0.0
珍珠泉旅游文化生活馆,0,0.0,,,118.666013,32.128049,0,0.0
万景园小教堂,0,0.0,,,118.725745,32.043999,0,0.0
万景园意式台地,0,0.0,,,118.723444,32.041144,0,0.0
珍珠泉睛雨泉,0,0.0,,,118.66498,32.127819,0,0.0
熙南里形象展示中心,0,100.0,,,118.7869895993,32.0321145326,0,0.0
升州路120号民国建筑,0,0.0,,,118.787426,32.030735,0,0.0
南捕厅,0,0.0,,,118.787655,32.03284,0,0.0
远洋国际中心商业街区,0,100.0,,,118.799435,32.042563,0,0.0
南京镜见律师博物馆,0,100.0,,,118.787811,32.031391,0,0.0
珍珠泉白龙赐福,0,100.0,,,118.663632,32.12837,0,0.0
珍珠泉鱼乐轩,0,0.0,,,118.663821,32.128489,0,0.0
珍珠泉源头,0,0.0,,,118.66383,32.128516,0,0.0
大板巷71号民国建筑,0,0.0,,,118.787274,32.032336,0,0.0
珠光峡,0,0.0,,,118.663866,32.128892,0,0.0
绫庄巷2号民居,0,0.0,,,118.78701,32.032423,0,0.0
滨江风光带万景园艺术展览馆,0,0.0,,,118.72671,32.043644,0,0.0
珍珠泉无想峰,0,0.0,,,118.661188,32.130002,0,0.0
高阳桥,0,0.0,,,118.986398,31.82507,0,0.0
板汤线,0,0.0,,,118.740554,31.891002,0,0.0
姚东大街,0,0.0,,,118.992432,31.866864,0,0.0
湖熟中心小学,0,0.0,,,118.99211,31.859161,0,0.0
安哥拉巨兔主题馆,0,70.0,,,118.791484,32.042636,0,0.0
奇思妙想艺术馆,0,0.0,,,118.786382,32.046329,0,0.0
克莉丝汀甜蜜城堡,0,0.0,,,118.8146145118,31.917656343,0,0.0
薛城遗址公园,0,0.0,,,118.860793,31.367618,0,0.0
金牛山公园,0,0.0,,,118.9990763005,31.6128768638,0,0.0
享堂水库,0,0.0,,,118.5966509205,32.0764237787,0,0.0
星空魔幻城,0,0.0,,,118.795351,32.025797,0,0.0
长生鹿苑Changsheng Deer Park,0,78.0,,,118.841188,32.050117,0,0.0
公塘村,0,0.0,,,118.71055,31.816116,0,0.0
汉中门桥Hanzhongmen Bridge,0,94.0,,,118.771783,32.047919,0,0.0
竹海湖Zhuhai Lake,0,0.0,,,118.828167,32.067362,0,0.0
紫金山昆虫博物馆Zijin Mountain Insect Museum,0,88.0,,,118.850526,32.057799,4,0.0
洞玄观Tongxuan Temple,0,0.0,,,118.887325,31.895458,0,0.0
陆越子画展,0,0.0,,,118.7451105802,32.0349890891,0,0.0
"秦淮梅园廉洁文化博物馆Clean and Honest Culture Museum, Qinhuai Plum Garden",0,0.0,,,119.0485056271,31.4965105117,0,0.0
"波兰大使馆旧址星汉别墅Xinghan Villa, Former Site of Polish Embassy",0,0.0,,,118.7700368667,32.0754286367,0,0.0
基督教江宁堂Christian Jiangning Church,0,0.0,,,118.6112644254,31.8660142546,0,0.0
吉兆营清真寺Jizhaoying Mosque,0,0.0,,,118.7916088532,32.0583612474,0,0.0
琉璃窑遗址Ruins of Colored Glaze Kiln,0,0.0,,,118.7891,32.016044,0,0.0
江南近现代工业遗存公园Jiangnan Modern Industrial Heritage Park,0,0.0,,,118.7772170367,32.0315381118,0,0.0
BOE画屏数字艺术馆BOE Printed Screen Digital Art Museum,0,80.0,,,118.8269747242,31.9382240033,4,0.0
中国洋河名家画院China Yanghe Famous Paintings,0,0.0,,,118.8096892449,32.0334138533,0,0.0
拉德芳斯风情街La Defense Street,0,0.0,,,118.7374693258,32.0026214551,0,0.0
上秦淮生态湿地公园Shangqinhuai Ecological Wetland Park,0,0.0,,,118.8434368237,31.8751793403,0,0.0
澄清坊清真寺Chengqingfang Mosque,0,0.0,,,118.846891,32.348507,0,0.0
红山童趣小屋Hongshan Children's Fun Cabin,0,0.0,,,118.813040638,32.0968736891,0,0.0
南京玫瑰园Nanjing Rose Garden,0,86.0,,,118.914316,31.594432,0,0.0
1865凡德文化艺术街区1865 Finder Art Ditrict,0,0.0,,,118.7916941739,32.0124755725,0,0.0
孙权墓Tomb of Sun Quan,0,0.0,,,118.8452188508,32.0548920607,1,0.0
弘德寺Hongde Temple,0,0.0,,,118.622257071,32.0662582384,0,0.0
4D明星蜡像馆4D Celebrity Wax Museum,0,0.0,,,118.7823187609,32.0993655971,0,0.0
永盛奥林匹克公园Yongsheng Olympic Park,0,0.0,,,118.6977806759,31.9470446967,0,0.0
龙袍长江渔村Longpao Yangtze River Fishing Village,0,100.0,,,118.9793269711,32.2072048691,0,0.0
九塘村Jiutang Village,0,0.0,,,118.9700300303,31.6639057342,0,0.0
星汉画廊,0,0.0,,,118.8245184506,32.1239460287,0,0.0
中国供销社博物馆Museum of Supply and Marketing Cooperative of China,0,100.0,,,119.06694296,31.5146059065,1,0.0
三桥湿地公园Sanqiao Wetland Park,0,74.0,,,118.6581107986,31.9658203564,0,0.0
春江新城郊野公园Chunjiang New Town Country Park,0,0.0,,,118.7363979653,31.9680175669,0,0.0
"白马杨树山宝鼎寺Baoding Temple in Yangshu Mountain, Baima Town",0,0.0,,,119.1665782353,31.5127854481,0,0.0
戴山Daishan Hill,0,0.0,,,118.7185200584,31.9309880315,0,0.0
中央陆军军官学校旧址Former Site of Central Military Academy,0,0.0,,,118.8160292293,32.0599770965,0,0.0
热带鸟馆Tropical Bird House,0,0.0,,,118.8069797553,32.098211402,0,0.0
红苹果恋恋园Red Apple Love Garden,0,0.0,,,118.853559262,31.9192931033,0,0.0
高座寺,0,66.0,,,118.7882948276,32.0073243272,0,0.0
时代国粹文化博物馆“Quintessence of Chinese Culture in the Era” Cultural Museum,0,0.0,,,118.7669108388,32.0442283691,0,0.0
王氏宗祠Ancestral Hall of Family Wang,0,0.0,,,118.7191742891,31.7295055217,0,0.0
南京国风汉服体验馆Nanjing National Customs Han Chinese Costume Experience Hall,0,0.0,,,118.7953446393,32.0258197124,0,0.0
九龙公园Jiulong Park,0,0.0,,,118.7547407799,32.2089786259,0,0.0
土壤标本馆China Soil Sample Museum,0,0.0,,,118.8108032514,32.0648423697,0,0.0
"五老村爱国卫生运动纪念馆Patriotic Sanitation Movement Memorial Hall, Wulao Village",0,0.0,,,118.806173,32.040574,0,0.0
国民革命军兵工专门学校旧址Former Site of the Special Military Engineering School of the National Revolutionary Army,0,0.0,,,118.79082,32.012834,0,0.0
南京魔幻空间艺术展,0,0.0,,,118.7885445303,32.0456588412,0,0.0
新海洋公园,0,0.0,,,118.8285160321,31.9488686696,0,0.0
两栖爬行馆Pavilion of Amphibians and Reptiles,0,0.0,,,118.8127167821,32.0972276036,0,0.0
奇趣乐园,0,0.0,,,118.7680734699,32.2377092247,0,0.0
团山公园Tuanshan Park,0,0.0,,,119.0294969172,31.7030772945,0,0.0
六朝古都遗址公园Six-Dynasties Ancient Capital Ruins Park,0,0.0,,,118.7097977096,31.9471281121,0,0.0
姚坊门文体公园Yaofangmen Cultural and Sports Park,0,0.0,,,118.887312424,32.1350203405,0,0.0
老学堂创意园区Old School Creative Park,0,0.0,,,118.7547399113,32.0925359387,0,0.0
井亭遗址Site of Wellhouses,0,0.0,,,118.84588,32.060892,0,0.0
上美术馆,0,0.0,,,118.7415445178,31.9897480394,0,0.0
明岐阳王陵园Mausoleum of Prince Qiyang of Ming Dynasty,0,0.0,,,118.835076,32.085048,0,0.0
诗意星空罗方扬天文油画科普展,0,0.0,,,118.8762435647,32.0633150495,0,0.0
红庙水库Hongmiao Reservoir,0,0.0,,,118.6646192104,31.8463635314,0,0.0
清城韵翠玉博物馆Qingchengyun Blue Jade Museum,0,0.0,,,118.8080356392,32.0679828506,0,0.0
T80科技文化国际社区T80 Technology Culture International Community,0,100.0,,,118.8562419891,32.0476360517,1,0.0
春夏农场Spring and Summer Farm,0,0.0,,,118.8193169614,31.7104969794,0,0.0
河岸花海He’an Flower Sea,0,80.0,,,118.558642,32.152963,1,0.0
"Pulupulu主题体验馆南京旗舰店-恐怖病院Horror Hospital, Pulupulu Game Arena Nanjing Flagship Store",0,0.0,,,118.79168,32.046688,0,0.0
"六合马鞍玫瑰园Ma'an Rose Garden, Liuhe District, Nanjing",0,0.0,,,118.798038,32.561393,0,0.0
大板巷Daban Lane,0,86.0,,,118.7871649005,32.0316072099,7,0.0
牡丹园Peony Garden,0,0.0,,,119.1011976991,31.5634512654,0,0.0
复园Fuyuan Garden,0,100.0,,,118.804463,32.050708,0,0.0
大浦塘生态综合养殖基地Dapu Pond Ecological Comprehensive Breeding Base,0,0.0,,,118.93269,32.092663,0,0.0
东山街道林场Dongshan Street Forest Farm,0,0.0,,,118.9370969409,31.9778947626,0,0.0
北横山村North Hengshan Village,0,0.0,,,119.03674,32.508816,0,0.0
清华科技园低碳智能展示中心Low Carbon Intelligence Exhibition Center,0,0.0,,,118.9059687686,32.0287485625,0,0.0
吉印大道桥Jiyin Avenue Bridge,0,0.0,,,118.8210339826,31.8997448733,0,0.0
卞家湾Bianjiawan Village,0,0.0,,,118.67217,32.23241,0,0.0
中航樾府分园白色门亭,0,0.0,,,118.80599,31.935766,0,0.0
老年干部活动室(南京海关),0,0.0,,,118.78386,32.023136,0,0.0
大塘埂水库Datanggeng Reservoir,0,0.0,,,119.0340904902,31.5869864276,0,0.0
竹镇林场Zhu Town Forest Farm,0,0.0,,,118.634094,32.556923,0,0.0
句容河大桥Jurong River Bridge,0,0.0,,,118.92977,31.848848,0,0.0
南京繁昌园林工程处,0,0.0,,,118.92607,32.083466,0,0.0
杭岗Hanggang Village,0,0.0,,,118.7277538486,32.4088888832,0,0.0
石桥镇林场,0,0.0,,,118.422801,31.942189,0,0.0
南栗山Nanli Mountain,0,0.0,,,119.037229,31.36718,0,0.0
苏鲁园艺,0,0.0,,,118.658549,31.876285,0,0.0
杨半边Yangbanbian Village,0,0.0,,,118.494397,31.87234,0,0.0
"雨发生态园农副产品展示展销中心Agricultural and Sideline Products Exhibition Center, Yufa Ecological Park",0,60.0,,,118.547098,32.034455,0,0.0
歧祖堂,0,0.0,,,118.78752,32.030676,0,0.0
"金陵国卉牡丹园Guihui Peony Garden, Jinling",0,0.0,,,118.660101,32.572021,0,0.0
兴华宝鼎Xinghua Tripod,0,0.0,,,118.746198,32.040828,0,0.0
华东奇石艺术馆East China Rare Stone Art Museum,0,0.0,,,118.810965,32.306542,0,0.0
马府院Mafuyuan Village,0,0.0,,,118.68774,31.852067,0,0.0
乌龟堰Wuguiyan Village,0,0.0,,,118.800645,31.664302,0,0.0
孤山堰Gushan Weir,0,0.0,,,119.084218,32.087248,0,0.0
龙都养殖场,0,0.0,,,118.938138,31.858237,0,0.0
汤山山顶公园Tangshan Peak Park,0,0.0,,,119.059347,32.061975,0,0.0
大骆庄Daluozhuang Village,0,0.0,,,118.9247502707,32.5614986031,0,0.0
"龙山中坝Zhongba Village, Longshan County",0,0.0,,,118.764042,31.799821,0,0.0
陵丰桥Lingfeng Bridge,0,0.0,,,118.70218,32.505584,0,0.0
"龙乡双范商量书房Shuangfan Consultation Study, Longxiang",0,0.0,,,118.720829,31.78735,0,0.0
孚而岗村Fuergang Village,0,0.0,,,118.7617053054,31.760559476,0,0.0
"南京清江村Qingjiang Village, Nanjing",0,0.0,,,118.73438,32.048837,0,0.0
河西城市生态公园Nanjing Hexi Chengshi Ecology Park,0,88.0,,,118.7067764078,31.9811922328,3,0.0
大胜关长江大桥Dashengguan Yangtze River Bridge,0,100.0,,,118.667771,31.972286,0,0.0
大报恩圣地The Holy Land of Dabao’en Temple,0,80.0,,,118.787683,32.015858,2,0.0
牛头山Niutou Mountain,0,0.0,,,118.9407503779,32.0541642998,0,0.0
四季花海Four-Season Flower Sea,0,0.0,,,118.717459651,32.0301671023,0,0.0
南京直立人化石遗址公园Nanjing Zhiliren Huashi Ruins Park,0,0.0,,,119.048858004,32.0621180411,0,0.0
西安门遗址公园Xi'anmen Relic Site Park,0,0.0,,,118.811707,32.045903,0,0.0
清真寺(鼎新路)Mosque (Dingxin Road),0,0.0,,,118.7843392855,32.0355732862,0,0.0
红山森林动物园大熊猫馆,0,90.0,,,118.8080441305,32.0992100094,3,0.0
建初寺Jianchu Temple,0,86.0,,,118.788519,32.012888,0,0.0
"长干里Changganli Ancient City, Nanjing",0,100.0,,,118.7878944476,32.0170571444,0,0.0
秦淮源公园Lishui Qinhuaiyuan Park,0,100.0,,,119.0624039279,31.6506122699,1,0.0
龙尚湖Longshang Lake,0,86.0,,,118.9695555728,32.0230543894,0,0.0
江苏第二师范学院-图书馆Jiangsu Second Normal University Library,0,0.0,,,118.7612559729,32.063966989,0,0.0
大行宫会堂Daxinggong Hall,0,0.0,,,118.7990297848,32.0481305695,0,0.0
定山寺Ding Mountain Temple,0,0.0,,,118.673289,32.136657,0,0.0
华东饭店-会议中心Huadong Fandian-Huiyi Center,0,0.0,,,118.765903,32.063819,0,0.0
横山风景区Hengshan Scenic Area,0,0.0,,,118.8116510917,31.6508489901,0,0.0
老门东牌坊Laomendong Memorial Archway,0,88.0,,,118.794379264,32.0190408908,12,0.0
将军山风景区-龙泉寺Dragon Spring Temple,0,100.0,,,118.7714399727,31.9327479748,0,0.0
南堡公园Nanbao Park,0,66.0,,,118.76061,32.11596,0,0.0
金陵饭店亚太商务楼-会见厅,0,100.0,,,118.7890595807,32.0497605894,2,0.0
长江路历史文化街区Changjiang Road Historical and Cultural District,0,0.0,,,118.8063997716,32.0482369117,0,0.0
明觉寺森林公园Mingjuesi Forest Park,0,0.0,,,118.904346269,31.5870993764,0,0.0
桥北Qiaobei Street,0,0.0,,,118.4004210349,31.9970164071,0,0.0
南京大学金陵学院-思源图书馆Nanjing University Pukou Campus Siyuan Library,0,0.0,,,118.7135600504,32.1844699213,0,0.0
滁河Chuhe,0,70.0,,,118.856769779,32.2758008208,0,0.0
三鸟仓艺术空间Santoricang Art Space,0,100.0,,,119.030002,32.115979,3,0.0
南京双子塔Nanjing Twin Towers,0,100.0,,,118.714580621,31.9974294271,2,0.0
南京青奥会议中心Nanjing Youth Olympics Conference Center,0,0.0,,,118.716189,31.997053,0,0.0
凤凰台遗址Fenghuangtai Ruins,0,90.0,,,118.7770839298,32.0230064254,1,0.0
滨江公园Binjiang Park (Wanjingyuan Road),0,98.0,,,118.725157,32.016428,3,0.0
周处读书台Zhou Chu’s Reading Platfrom,0,0.0,,,118.7991494855,32.0168408609,0,0.0
南京理工大学-兵器博物馆Nanjing Ligong Daxue-Bingqi Museum,0,0.0,,,118.863928,32.029672,0,0.0
佛手湖公园Foshouhu Park,0,70.0,,,118.659361,32.11452,0,0.0
桥北滨江生态公园Qiaobeibinjiang Ecology Park,0,0.0,,,118.7409398136,32.1189188745,0,0.0
原国民政府财政部旧址Yuan Guomin Zhengfu Caizhengbu Site,0,0.0,,,118.7963390564,32.0473991828,0,0.0
羊山湖公园Yangshanhu Park,0,90.0,,,118.9508357152,32.1141976539,1,0.0
北极阁公园Beijige Park,0,82.0,,,118.7971674867,32.0660257356,13,0.0
安基山水库Anji Mountain Reservoir,0,0.0,,,119.0768654825,32.093555572,0,0.0
莲花湖公园Lianhuahu Park,0,0.0,,,118.6616211533,31.9141469312,0,0.0
南京汤山国家地质公园Nanjing Tang Shan Guojia Dizhi Park,0,0.0,,,119.069876,32.047247,0,0.0
世界军事科技兵器馆World Museum of Military Scientific Weapons,0,0.0,,,118.7607350909,32.0574991733,0,0.0
燕雀湖Yanque Lake,0,96.0,,,118.840064,32.049049,1,0.0
万成生态园Nanjing Wancheng Ecological Garden,0,0.0,,,118.430259,31.952576,0,0.0
中国传媒大学南广学院-教学楼3,0,0.0,,,118.8938137093,31.888020338,0,0.0
金陵制造局Jinling Manufacturing Bureau,0,94.0,,,118.791745,32.014057,0,0.0
"张圩油菜花海Rape Flower Sea, Zhangxu",0,80.0,,,118.554928,32.155424,0,0.0
水母云-1618Jellyfish Pavillion-1618,0,70.0,,,118.791983,32.018143,1,0.0
上元门水厂,0,92.0,,,118.778127,32.122878,4,0.0
南京下关历史陈列馆Nanjing Xiaguan Lishi Exhibition Hall,0,90.0,,,118.74374515,32.1001621808,0,0.0
小龙门Xiaolongmen National Forest Park,0,82.0,,,118.796661,32.026875,5,0.0
夫子庙5D光影星空艺术馆Fuzimiao 5D Guangying Xingkong Art Museum,0,100.0,,,118.795141,32.027787,0,0.0
孙中山与南京临时政府展览,0,100.0,,,118.8027885676,32.0509497325,0,0.0
"夫子庙侦探事务所-特别文物调查Special Cultural Relic Investigation, Confucius Temple Detective Office",0,80.0,,,118.796355,32.027592,1,0.0
南京恋爱博物馆Nanjinglian'ai Museum,0,98.0,,,118.788177,32.045614,3,0.0
奇葩减压馆,0,96.0,,,118.789831,32.045014,0,0.0
南京海龙红木文化博物馆Nanjing Hailong Hongmu Culture Museum,0,0.0,,,118.940581,31.842491,0,0.0
南京金都金箔技艺博物馆Nanjing Jindou Jinbo Jiyi Museum,0,0.0,,,119.051104,32.183837,0,0.0
南京市江宁区金陵佛教文化博物馆Nanjingshi Jiangningqu Jinling Fojiao Culture Museum,0,0.0,,,118.792623,31.917201,0,0.0
南京税收博物馆Nanjingshuishou Museum,0,0.0,,,118.807079,32.03993,0,0.0
天文历史博物馆Nanjing Tianwen Lishi Museum,0,0.0,,,118.836023,32.071241,0,0.0
大照壁Great Screen Wall,0,82.0,,,118.796339,32.025722,5,0.0
鼓楼市民广场Guloushimin Square,0,92.0,,,118.791219,32.065293,3,0.0
头台洞Toudai Cave,0,0.0,,,118.818111,32.149847,0,0.0
萧秀墓石刻Stone Carving of Xiao Xiu Tomb,0,0.0,,,118.9287444982,32.148027783,0,0.0
小龙湾桥Xiaolongwan Bridge,0,88.0,,,118.83928,31.942582,4,0.0
南京独角兽星空失恋博物馆Dujiaoshou Xingkong Shilian Museum,0,40.0,,,118.79157,32.042671,0,0.0
文源桥Wenyuan Bridge,0,100.0,,,118.797733,32.027191,3,0.0
白龙桥White Dragon Bridge,0,0.0,,,118.819569,31.941684,0,0.0
马场山Machang Mountain,0,100.0,,,119.1104680179,31.9166577056,0,0.0
幸庄湿地公园Xingzhuang Wetland Park,0,0.0,,,119.039049,31.6247,0,0.0
银杏谷Ginkgo Valley,0,0.0,,,118.7663369686,32.0557260316,0,0.0
"玄武湖公园-樱洲Cherry Blossom Garden, Xuanwu Lake Park",0,94.0,,,118.799799,32.07915,14,0.0
金色阿富汗,0,96.0,,,118.8315824086,32.0468535581,1,0.0
"六合龙池湖Longchi Lake, Liuhe",0,96.0,,,118.823182,32.331107,12,0.0
鼓楼广场Gulou Square,0,88.0,,,118.790219,32.065366,27,0.0
江苏省昆剧院,0,0.0,感受昆曲的魅力,,118.78178,32.039302,0,0.0
"南京城墙武庙闸Wumiao Gate, Nanjing City Wall",0,98.0,,,118.8057206906,32.0687949654,14,0.0
长江大桥南桥头堡,0,0.0,,,118.757006,32.115667,0,0.0
菱洲儿童乐园,0,0.0,以生态、科普、游乐为主题的游乐园,,118.803993,32.076375,0,0.0
鱼嘴湿地公园Yuzui Wetland Park,0,96.0,,,118.672325,31.980174,13,0.0
河西城市生态公园,0,0.0,美丽自然的城市绿洲,,118.706807,31.981193,0,0.0
南京大学科学技术馆NanJing DaXue KeXue JiShuGuan,0,0.0,,,118.7883175864,32.0610509894,0,0.0
江南水泥厂Jiangnan Cement Factory,0,80.0,,,118.990108,32.159609,0,0.0
三台洞Ancient Santai Cave,0,100.0,,,118.812328,32.145129,3,0.0
